ORF	IniProb	rand_mRNA
YAL001C	0.000591287331273676	4
YAL002W	0.000298921919353378	1
YAL003W	0.00465327934775768	290
YAL007C	0.00157369375701685	11
YAL008W	0.00235231807450303	2
YAL009W	0.00060905277365597	4
YAL010C	0.000795874820939731	2
YAL011W	0.000757286740900966	4
YAL012W	0.00349410138073666	49
YAL013W	0.00168992599693992	2
YAL014C	0.000454395602706035	10
YAL015C	0.000656200160106158	4
YAL016W	0.00149186081779973	5
YAL017W	0.000482671253059891	7
YAL019W	0.000659504166242168	10
YAL020C	0.000555540651829697	1
YAL021C	0.000790597191319212	3
YAL022C	0.000680133234373188	5
YAL023C	0.00102511293160897	14
YAL024C	0.00036329722536357	2
YAL025C	0.00338252547831417	4
YAL026C	0.000503030786096231	6
YAL027W	0.000863997478082985	1
YAL028W	0.000343291801973488	3
YAL029C	0.000342376075612612	3
YAL030W	0.00130070703405774	6
YAL031C	0.000531651094470004	3
YAL032C	0.000990911169463032	3
YAL033W	0.000937610987977122	4
YAL034C	0.000173227764417467	2
YAL034WA	0.0012973484680998	1
YAL035W	0.00197872262793049	24
YAL036C	0.00185535472611986	12
YAL038W	0.00438370345713572	673
YAL039C	0.00238014679501555	2
YAL040C	0.000420675086829678	2
YAL041W	0.000578077606242867	4
YAL042W	0.000739206045091777	16
YAL043C	0.000607659873491582	3
YAL044C	0.00204814780537094	26
YAL044WA	0.00151663485025471	15
YAL046C	0.00117552638233747	7
YAL047C	0.000665598004786149	2
YAL048C	0.000644535880492117	4
YAL049C	0.00195323301533089	6
YAL051W	0.000646078675384459	3
YAL053W	0.000971856191218392	8
YAL055W	0.0011183195593104	2
YAL056W	0.000266393374058223	1
YAL058W	0.000643633654785388	3
YAL059W	0.00154948475892156	11
YAL060W	0.00135662207193152	10
YAL061W	0.00171553073039106	2
YAR002CA	0.00193993252404468	16
YAR002W	0.00143643536244143	7
YAR003W	0.000502691472096825	2
YAR007C	0.00182184915835782	4
YAR008W	0.00102934095868374	6
YAR014C	0.000704648401325916	3
YAR015W	0.00203747214095106	16
YAR018C	0.000605624410617885	2
YAR019C	0.000376630677306935	3
YAR027W	0.00115915148036112	5
YAR028W	0.00107718234059774	5
YAR035W	0.00022739080455667	1
YAR042W	0.000567095402468358	4
YBL001C	0.00227751862613741	25
YBL002W	0.00446361038668157	61
YBL004W	0.000346839322196723	15
YBL005W	0.000354911870652947	2
YBL006C	0.000719773129018025	9
YBL007C	0.000995819115861079	15
YBL008W	0.000583477294635963	2
YBL009W	0.000924535157703178	1
