Gene	Avg_ribo_stall
0	0.143415
1	0.00855898
2	8.92153
3	0.291507
4	0.151808
5	0.0307222
6	0.118099
7	0.215658
8	16.7658
9	0.135826
10	0.0967032
11	0.103212
12	0.4014
13	0.303724
14	0.200936
15	0.0136396
16	0.268283
17	0.116155
18	0.704505
19	0.0568039
20	1.16959
21	0.0862361
22	0
23	0
24	0
25	0.0966767
26	0.132268
27	0.180649
28	0.0952159
29	0
30	0.0686634
31	2.96995
32	1.20167
33	42.5711
34	0.387505
35	0.00133312
36	0.141073
37	0.306062
38	0.208651
39	2.0779
40	0.446311
41	0.152019
42	0.074889
43	0.153147
44	0.540627
45	0.193458
46	0.326676
47	0.0215638
48	0.00458603
49	0.132071
50	0.388438
51	0.651617
52	0.249377
53	0.210312
54	0.470384
55	0.0289398
56	0.250033
57	0.204197
58	0.0780271
59	1.046
60	0.0126101
61	0.0521614
62	0.137028
63	0.194848
64	0
65	0.152431
66	0.33676
67	3.8224
68	0.720114
69	0.0128117
70	0.13205
71	1.0371
72	0.02679
73	0.0397799
74	0.160174
75	0.103535
76	0.0506155
77	0.0178993
78	0.0418954
79	0.131415
80	0.634373
81	0.268772
82	0.00667373
83	0.0260704
84	0.139082
85	0.288879
86	0.550581
87	1.39179
88	0.0793742
89	0.189317
90	0.242411
91	0.0540605
92	0.0663256
93	5.57477
94	0.0253373
95	0.372941
96	0.276677
97	0.050258
98	0.270081
99	1.3223
100	0.162281
101	0.0687585
102	2.41115
103	0.290098
104	1.02846
105	0.243578
106	0.49563
107	0.116954
108	1.55446
109	0.818803
110	0.457899
111	0.0118789
112	0.192604
113	0.0612874
114	0.269073
115	0.0621379
116	0.824327
117	0.268179
118	0.0875927
119	0.0828059
120	0.314405
121	0.044817
122	0.406509
123	0
124	0.0593993
125	0.155653
126	0.192158
127	0.182189
128	0.0730881
129	2.9764
130	0.228315
131	0.178616
132	0.0351494
133	0.120937
134	0.229232
135	0.133221
136	0.00943979
137	0.0244913
138	0.151779
139	1.27579
140	0.0605222
141	3.91932
142	0.297964
143	0
144	0.170308
145	0.0809679
146	3.69158
147	0.098883
148	0.257315
149	0.0229638
150	0.0335295
151	0.196459
152	0.00700848
153	0.0574819
154	0.0494352
155	0.194197
156	0.0798108
157	0.0664101
158	0.0121118
159	0.140203
160	0.0460155
161	10.2521
162	0.0107493
163	0.413792
164	0.29161
165	4.11277
166	0.45922
167	0.0796488
168	0.0811769
169	0.595795
170	0.0562936
171	4.11306
172	0.136346
173	0.17449
174	0.552966
175	0.00796671
176	0.523389
177	2.04946
178	0.338847
179	0.184155
180	0.554276
181	0.673177
182	0.0617844
183	0.0449471
184	0
185	0.0325471
186	0.670033
187	0.00547319
188	1.07418
189	0.849209
190	0.338931
191	0.483168
192	0.00945127
193	0.157162
194	0.101904
195	0.234979
196	0.297344
197	0.503409
198	0.0137065
199	0.476488
200	0.401787
201	0.0256546
202	0.34216
203	2.78718
204	0.737908
205	0.521601
206	0.0173572
207	0.344835
208	0.344038
209	0.0751894
210	0.12828
211	0.16946
212	12.7043
213	2.47242
214	1.22578
215	0.102152
216	4.57107
217	0.1908
218	1.02353
219	0.708962
220	0.187734
221	0.29912
222	0.0144125
223	1.60067
224	0.108099
225	0.223175
226	0.101062
227	0.313342
228	0.0514284
229	0.0410212
230	0.683021
231	0.257504
232	0.186057
233	0.139759
234	0.150274
235	1.37804
236	0.00103604
237	0.676947
238	2.95643
239	0.0313569
240	0.564485
241	0.186642
242	0.127721
243	2.16342
244	0.0717056
245	0.0263521
246	3.39125
247	0.0989388
248	0.0944138
249	0.138043
250	2.194
251	6.06217
252	0
253	0.0514726
254	0.143696
255	0.000803717
256	0.221458
257	0.0423385
258	1.01684
259	0.0391374
260	0.379493
261	0.197291
262	0.403791
263	0.0913083
264	0.00557748
265	0.193762
266	3.44924
267	0.122962
268	0.155213
269	0.0149851
270	1.03231
271	0.303152
272	0.0368677
273	0.0303374
274	1.55412
275	0.667816
276	0.0376518
277	0.0879405
278	0.172789
279	0.824438
280	0.26762
281	0.203813
282	1.91265
283	0.474168
284	0
285	0.883513
286	0.0969149
287	0.293411
288	0.0556659
289	0.0125802
290	0.0296576
291	0.584537
292	0.288235
293	0.410913
294	1.78501
295	0.0253566
296	0.032485
297	0.432772
298	0.021453
299	0.00316051
300	0.0337764
301	0.0127595
302	0.0944808
303	0.15815
304	0.0735491
305	7.07957
306	0.0953753
307	0.180162
308	0.0673412
309	0.0715498
310	8.92799
311	0.0285637
312	0.0517867
313	0.322613
314	0.123871
315	0.0386034
316	0.294626
317	0.0198125
318	0.275876
319	0.323924
320	0.451151
321	0.177447
322	0.0934127
323	0.0315487
324	0.487158
325	0.0694644
326	0.204515
327	0.143073
328	0.337863
329	0.00088315
330	0.030182
331	2.0028
332	0.446655
333	0
334	0.04197
335	0.280081
336	0.00967085
337	0.269837
338	0.349902
339	0.159034
340	0.237924
341	0.397373
342	0.133317
343	1.25997
344	0.0202431
345	0.310435
346	0
347	0.143164
348	0.0601739
349	0.101219
350	0.0458232
351	0.0625587
352	0.718214
353	0.721914
354	0.0198212
355	0.640661
356	0.983616
357	3.37536
358	0.243351
359	0.496456
360	0.0145638
361	0.143626
362	0
363	0.022586
364	0.0860545
365	0.0809678
366	0.0903571
367	0
368	0.436735
369	0.445416
370	0.101449
371	1.84578
372	0.041982
373	0.147282
374	0.204277
375	0.090703
376	0.287457
377	0.0973835
378	0.0328731
379	0.30725
380	0.00189429
381	0.348212
382	0
383	0.0657096
384	0.160499
385	0.109326
386	0.0709599
387	0.166544
388	1.56693
389	0.056553
390	4.44943
391	0.0979044
392	0.360739
393	0.074765
394	0.0933058
395	0.00821912
396	0
397	0.0101848
398	0.0823578
399	0.396015
400	0.00153119
401	0
402	0.0322198
403	0.899331
404	0.132701
405	0.927054
406	0.0878411
407	0.310931
408	0
409	0.239811
410	0.0912492
411	0.503558
412	0
413	0.0262847
414	0.560485
415	0.229134
416	2.02331
417	0.271504
418	2.4127
419	0.369968
420	0.0564672
421	0.066502
422	0.416427
423	2.3103
424	0.154925
425	5.15401
426	0.0245034
427	0.00815602
428	5.96434
429	0.450114
430	1.14839
431	0.124904
432	0.0465079
433	2.16767
434	0.0295194
435	0.0176107
436	0.715232
437	0.207861
438	0
439	0.795735
440	0.40364
441	1.34496
442	0.59501
443	0.2329
444	0.0519265
445	2.71199
446	0.088717
447	0.3941
448	1.56595
449	0.670971
450	0.0128171
451	0.0712718
452	0.416247
453	0.956241
454	30.5199
455	0.0569388
456	0.729026
457	0.243425
458	0.0487301
459	0.0557144
460	0.108758
461	0.0804002
462	0.0177064
463	0.00379795
464	0.0260882
465	2.13426
466	0
467	0.100394
468	0.0351476
469	0.089121
470	1.39017
471	0.51646
472	0.0115964
473	0
474	1.38643
475	0.253661
476	0.307973
477	0.135131
478	0.285545
479	0.162286
480	0.102325
481	0.235757
482	0.329005
483	0.246598
484	0.986411
485	0.460858
486	3.98487
487	0.249825
488	0.541177
