Codon	Num_of_events	Avg_elong_time(sec)
0	23268	0.121638
1	10285	0.0913379
2	2727	0.188254
3	331894	0.058094
4	1430	0.148464
5	16885	0.238256
6	56633	0.0385938
7	127837	0.060024
8	158431	0.0443958
9	20144	0.322904
10	133900	0.0618706
11	68550	0.096935
12	3781	0.20303
13	3322	0.0390822
14	909	0.294739
15	8880	0.0599961
16	5440	0.0858427
17	34274	0.134934
18	13635	0.311543
19	99789	0.0751146
20	83734	0.0479592
21	355987	0.0887145
22	43636	0.0442559
23	14614	0.210859
24	3552	0.664171
25	5407	0.326289
26	8690	1.01708
27	206442	0.0874606
28	157374	0.0623101
29	36996	0.0604265
30	170879	0.0630132
31	54473	0.0981122
32	9357	0.0620719
33	365	0.483225
34	668	0.101
35	3159	0.320755
36	181174	0.0685766
37	15992	0.649749
38	32429	0.0548285
39	9298	0.628475
40	2001	0.170344
41	2395	0.155621
42	793	0.568877
43	94541	0.0993992
44	12452	0.203223
45	5617	0.0878615
46	2424	0.635684
47	11243	0.0567122
48	4771	0.149977
49	16357	0.0884028
50	1816	0.613861
51	7976	0.0570386
52	17235	0.307555
53	5948	0.0713004
54	33266	0.308753
55	83707	0.0444996
56	31698	0.0996905
57	73380	0.0771951
58	45424	0.121271
59	4404	0.314867
60	8752	0.518914
