Gene	Num_of_events	Avg_initiation_time(sec)
0	5	158.457
1	729	14.9232
2	189	13.2708
3	13	147.551
4	33	95.5154
5	30	31.6953
6	1736	3.44922
7	60	50.0624
8	82	35.7726
9	30	125.582
10	201	33.4513
11	17	118.624
12	27	57.1179
13	9	121.44
14	74	20.5756
15	33	111.134
16	227	17.6093
17	3	101.485
18	473	22.1031
19	6	62.1603
20	65	52.0341
21	23	93.4592
22	5	179.719
23	57	34.0657
24	254	29.3241
25	45	30.2417
26	605	12.4004
27	587	19.4652
28	28838	2.72239
29	145	28.0509
30	16	67.4107
31	26	72.9248
32	192	86.061
33	23	65.0547
34	2639	16.8713
35	40	46.1196
36	8	70.4853
37	27	50.2105
38	31	48.9599
39	3	1275.58
40	12	112.109
41	655	23.6919
42	139	36.246
43	1245	15.1796
44	75	32.471
45	34	163.502
46	218	24.7365
47	58	136.167
48	46	84.7122
49	1572	19.1743
50	117	28.152
51	8	113.206
52	157	41.6011
53	5	79.5813
54	2725	6.82788
55	15	174.813
56	4	281.925
57	320	57.6619
58	177	13.5217
59	21	75.5734
60	30	33.7069
61	33	57.1416
62	2	559
63	118	25.7132
64	106	38.051
65	52	62.9806
66	14	66.0423
67	39	102.296
68	188	32.1123
69	40	23.6771
70	12	37.1706
71	289	15.5712
72	180	33.8999
73	4316	7.29534
74	2420	2.68515
75	22	22.8545
76	579	10.3245
77	80	46.6572
78	20	80.8905
79	39	25.749
80	581	22.3663
81	5	108.587
82	933	23.1859
83	583	9.41298
84	54	60.1085
85	403	11.1784
86	54	57.1648
87	71	13.8341
88	104	9.6739
89	8	375.771
90	60	42.3961
91	35	132.38
92	257	50.8876
93	197	33.2519
94	409	17.2429
95	18	180.333
96	58	89.5751
97	17	115.832
98	239	10.4058
99	37	89.2271
100	397	21.5388
101	43	22.974
102	1097	4.09971
103	29	70.8302
104	8	128.272
105	505	17.897
106	282	5.39127
107	8	130.694
108	2	295.567
109	19	79.0914
110	21	102.773
111	1	0
112	41	95.6799
113	477	23.2249
114	373	12.0161
115	74880	1.84329
116	355	56.0409
117	8	65.851
118	58	50.9068
119	677	5.14562
120	19	53.4537
121	144	51.7177
122	74	46.0104
123	46	40.9077
124	9	43.9411
125	35	49.8347
126	74	79.4192
127	56	53.3824
128	69	38.7173
129	167	39.2273
130	34	48.7601
131	1	766.129
132	6944	2.01485
133	348	18.6222
134	103	18.7232
135	106	50.6811
136	5	113.341
137	234	27.8809
138	28	75.3238
139	138	25.8912
140	3422	6.11729
141	145	17.2885
142	104	18.8372
143	12	170.216
144	571	32.2635
