Gene	Num_of_events	Avg_total_elong_time(sec)	Num_elng_stall	Num_chx_stall
0	59	188.031	0	0
1	5	221.427	0	0
2	24514	13.5925	11	0
3	327	27.0819	1	0
4	78	33.4048	0	0
5	58	46.9624	0	0
6	35	83.8066	0	0
7	69	101.49	0	0
8	3076	46.1205	16	0
9	46	79.2256	1	0
10	88	53.8425	0	0
11	50	71.9805	0	0
12	133	93.1077	1	0
13	80	227.698	0	0
14	132	168.628	1	0
15	9	66.158	0	0
16	55	141.882	0	0
17	64	90.7026	1	0
18	289	99.3017	1	0
19	14	239.423	0	0
20	241	43.5104	4	0
21	56	181.068	0	0
22	21	46.9171	0	0
23	18	101.591	0	0
24	27	220.136	0	0
25	148	18.924	0	0
26	34	131.299	0	0
27	61	62.9143	0	0
28	70	34.6676	0	0
29	3	63.7718	0	0
30	27	51.3423	0	0
31	861	106.923	9	0
32	448	48.3312	0	0
33	52661	32.9341	37	0
34	96	46.1867	0	0
35	14	87.5995	0	0
36	48	154.334	0	0
37	225	73.8092	0	0
38	35	145.973	0	0
39	1003	27.0566	2	0
40	437	17.191	0	0
41	150	22.1552	0	0
42	25	104.047	0	0
43	48	108.979	0	0
44	223	33.9329	2	0
45	40	167.069	1	0
46	146	120.109	0	0
47	41	31.2761	0	0
48	4	144.647	0	0
49	43	83.0771	0	0
50	319	28.6823	0	0
51	279	53.3334	2	0
52	72	65.0168	2	0
53	488	24.5726	0	0
54	176	85.1472	0	0
55	15	81.8754	1	0
56	94	85.5866	0	0
57	108	46.637	0	0
58	40	120.47	1	0
59	585	40.5696	2	0
60	18	74.2075	0	0
61	23	158.852	0	0
62	102	44.2354	0	0
63	114	41.0842	0	0
64	4	127.629	0	0
65	35	173.901	0	0
66	1026	12.3748	1	0
67	4998	11.0319	3	0
68	136	414.813	0	0
69	13	153.933	0	0
70	125	41.4068	0	0
71	270	168.729	0	0
72	17	131.704	0	0
73	11	112.505	0	0
74	81	48.6574	0	0
75	49	116.547	0	0
76	13	77.5533	0	0
77	10	146.969	0	0
78	21	76.7608	0	0
79	72	65.3595	0	0
80	157	229.897	0	0
81	269	18.6761	0	0
82	17	82.1801	0	0
83	25	93.3137	0	0
84	70	29.5889	0	0
