Pos	RPF_avg	mRNA_avg	RPF_avg_nostall	mRNA_avg_nostall
1	0.368667	0.00225251	0.367812	0.00214531
2	1.13845	0.00823459	1.1538	0.00796518
3	1.02853	0.00649675	1.0304	0.00628757
4	1.00863	0.00628732	1.02077	0.00611853
5	1.03685	0.00748706	1.04208	0.00730572
6	0.923262	0.0066241	0.929782	0.00637857
7	1.12056	0.00733496	1.10263	0.00704939
8	0.926895	0.00624215	0.936466	0.00604969
9	1.07717	0.00726374	1.087	0.00701789
10	1.09903	0.00724494	1.11164	0.00690545
11	0.929074	0.00646234	0.913612	0.00613021
12	0.983192	0.00732648	0.976941	0.00682388
13	1.01986	0.0073245	1.00127	0.00696061
14	0.967621	0.00712198	0.986544	0.00677966
15	1.19266	0.00799538	1.16948	0.00738078
16	1.23655	0.00752839	1.23604	0.00718829
17	1.02601	0.00668643	1.00259	0.00623016
18	1.00434	0.00588516	0.984874	0.00540787
19	1.05615	0.00753176	1.06508	0.007261
20	1.08677	0.00748836	1.07944	0.00701695
21	0.931715	0.00710586	0.945415	0.0068479
22	1.29238	0.00887164	1.29768	0.00847815
23	1.042	0.0069835	1.04491	0.0064821
24	1.08021	0.00818159	1.08474	0.00792591
25	1.16481	0.00761565	1.15953	0.00702029
26	0.745318	0.00576922	0.764759	0.00560221
27	1.07541	0.00667555	1.0779	0.00634047
28	1.02871	0.00691903	1.02791	0.00659941
29	0.95781	0.00735141	0.977081	0.00711359
30	1.2396	0.00784029	1.24996	0.00752783
31	0.966368	0.00685261	1.01519	0.00672659
32	1.00956	0.00651029	1.02048	0.00621302
33	0.954989	0.00694043	0.91343	0.0062958
34	1.08458	0.00764905	1.09483	0.00746627
35	1.02864	0.00720259	1.03481	0.00666722
36	0.980709	0.007098	0.976469	0.00672785
37	1.14316	0.00712603	1.13696	0.00674909
38	0.98085	0.00690529	0.993174	0.00667789
39	1.0976	0.00718026	1.10237	0.00681783
40	0.964893	0.00654301	0.958719	0.0062475
41	1.0649	0.0070382	1.0665	0.00679267
42	1.16022	0.0072055	1.16557	0.00695391
43	1.20612	0.00756725	1.16336	0.00708044
44	1.02308	0.00682598	0.971933	0.00628515
45	1.10477	0.00748807	1.10921	0.00713561
46	0.948956	0.00714024	0.940455	0.00676507
47	1.02949	0.00727731	1.02942	0.00699256
48	1.02058	0.00673604	1.01611	0.00634132
49	1.02204	0.00721134	1.03399	0.00697838
50	0.96037	0.00728852	0.972053	0.00712199
51	1.19732	0.00802308	1.19581	0.00771661
52	1.13318	0.00769325	1.18413	0.00747857
53	1.03219	0.00673263	1.00857	0.00625219
54	1.05498	0.00677657	0.992684	0.00596179
